AOK Kreis Cloppenburg;102414139;;;;;;49661;Cloppenburg;Sevelter Str. 40;49659;Cloppenburg;Postfach 1980;;;;;102114819;;;
AOK Kreis Leer;101814346;;;;;;26789;Leer;Brunnenstrasse 10-16;26761;Leer;Postfach 1120;;;;;102114819;;;
AOK Kreis Nienburg;102714427;;;;;;31582;Nienburg;Grosse Drakenburger Strasse 5;31561;Nienburg;Postfach 1140;;;;;102114819;;;
AOK Kreis Norden;101814437;;;;;;26506;Norden;Hooge Riege 24;26491;Norden;Postfach 100120;;;;;102114819;;;
AOK Kreis Stolzenau;102714600;;;;;;31592;Stolzenau;Sandbrink 4;31586;Stolzenau;Postfach 1140;;;;;102114819;;;
AOK Kreis Uelzen;102314628;;;;;;29525;Uelzen;Schillerstrasse 29;29502;Uelzen;Postfach 1263;;;;;102114819;;;
AOK Kreis Vechta;102414630;;;;;;49377;Vechta;Neuer Markt 18;49375;Vechta;Postfach 1154;;;;;102114819;;;
AOK Kreis Verden;102714644;;;;;;27283;Verden;Holzmarkt 1-5;27281;Verden;Postfach 1140;;;;;102114819;;;
AOK Kreis Wittmund;101814200;;;;;;26427;Esens;Siebet Attena Straße 18;26420;Esens;Postfach 1109;;;;;102114819;;;
AOK Landkreis Peine;101914520;;;;;;31224;Peine;Senator-Voges-Str. 1;31201;Peine;Postfach 1120;;;;;102114819;;;
AOK Landsberg;108516475;;;;;;86899;Landsberg;Waitzinger Wiese 1;;;;86896;Landsberg;;;108310400;;;
AOK Landshut;109016347;;;;;;84034;Landshut;Luitpoldstr. 28;;;;84023;Landshut;;;108310400;;;
AOK Lindau;109116747;;;;;;88131;Lindau;Friedrichshafener Strasse 43;;;;88101;Lindau;;;108310400;;;
AOK Lingen;102514356;;;;;;49808;Lingen;Bernd-Rosemeyer-Str. 14;49803;Lingen;Postfach 1120;;;;;102114819;;;
AOK Lkrs. Friesland;102814337;;;;;;26441;Jever;Anton Günther Strasse 56;26435;Jever;Postfach 1160;;;;;102114819;;;
AOK Ludwigsburg-Rems-Murr;108018347;;;;;;71636;Ludwigsburg;Gottlob-Molt-Str. 1;;;;;;;;108018007;;;
AOK Lüchow-Dannenberg;102314365;;;;;;29439;Lüchow;Theodor Körner Strasse 5;29431;Lüchow;Postfach 1151;;;;;102114819;;;
AOK Lüneburg;102314376;;;;;;21339;Lüneburg;Am Weißen Turm 3;21301;Lüneburg;Postfach 1180;;;;;102114819;;;
AOK Magdeburg;101097019;;;;;;39539;Havelberg;Markt 12-13;;;;;;;;101097008;;;
AOK Melle;102514389;;;;;;49324;Melle;Neuenkirchener Str. 5;49304;Melle;Postfach 1360;;;;;102114819;;;
AOK Memmingen;109116758;;;;;;87700;Memmingen;Hopfenstrasse 26;87681;Memmingen;Postfach 1144;;;;;108310400;;;
AOK Meppen;102514390;;;;;;49716;Meppen;Kuhstraße 50;49702;Meppen;Postfach 1261;;;;;102114819;;;
AOK Mittelfranken;108716115;;;;;;90443;Nürnberg;Frauentorgraben 49;;;;90330;Nürnberg;;;108310400;;;
AOK Mittlerer Oberrhein;106918251;;;;;;76133;Karlsruhe;Kriegsstr. 41;;;;;;;;108018007;;;
AOK Münden;102014271;;;;;;34346;Hann.- Münden;Parkstrasse 5;34333;Hann.-Münden;Postfach 1349;;;;;102114819;;;
AOK NORDWEST;101317004;;;;;;24145;Kiel;Edisonstr. 70;24100;Kiel;Postfach 7030;;;;;101317004;;da@dta.aok.de;
AOK NORDWEST;101317037;;;;;;23795;Bad Segeberg;Seminarweg 6;23781;Bad Segeberg;Postfach 1160;;;;;101317004;;;
AOK NORDWEST;101317151;;;;;;24534;Neumünster;Rudolf-Weißmann-Str. 13-15;24531;Neumünster;Postfach 1129;;;;;101317004;;;
AOK NORDWEST;101317173;;;;;;23758;Oldenburg;Göhler Str. 17;;;;;;;;101317004;;;
AOK NORDWEST;101317184;;;;;;25421;Pinneberg;Hindenburgdamm 60;25401;Pinneberg;Postfach 1120;;;;;101317004;;;
AOK NORDWEST;101317220;;;;;;24837;Schleswig;Schwarzer Weg 9;24822;Schleswig;Postfach 1269;;;;;101317004;;;
AOK NORDWEST;103411401;;;;;;44269;Dortmund;Kopenhagener Str. 1;;;;;;;;103411401;;da@dta.aok.de;
AOK Neckar-Alb;107815727;;;;;;72072;Tübingen;Europastraße 4;;;;;;;;107815772;;;
AOK Neckar-Alb;107815772;;;;;;72072;Tübingen;Europastraße 4;;;;;;;;108018007;;;
AOK Neckar-Fils;108018520;;;;;;73730;Esslingen;Plochinger Str. 13;;;;;;;;108018007;;;
AOK Neumarkt;108916630;;;;;;92318;Neumarkt;Mariahilfstrasse 39;92305;Neumarkt;Postfach 1560;;;;;108310400;;;
AOK Neustadt a. Rbge.;102114410;;;;;;31535;Neustadt;Goethestrasse 15;31523;Neustadt;Postfach 3141;;;;;102114819;;;
AOK Niedersachsen;102114819;;;;;;30173;Hannover;Hans-Böckler-Allee 30;30001;Hannover;Postfach 124;;;;;102114819;;;
AOK Nordost Region BRB;100696012;;;;;;14467;Potsdam;Behlertstr. 33A;;;;14456;Potsdam;;;100696012;;da@dta.aok.de;
AOK Nordost Region Berlin;109519005;;;;;;14467;Potsdam;Behlertstr. 33A;;;;14456;Potsdam;;;109519005;;da@dta.aok.de;
AOK Nordost Region MVP;100395611;;;;;;14467;Potsdam;Behlertstr. 33A;;;;14456;Potsdam;;;100395611;;da@dta.aok.de;
AOK Nordschwarzwald;107118277;;;;;;75172;Pforzheim;Zerennerstr. 49;;;;;;;;108018007;;;
AOK Oldenburg;102414468;;;;;;26122;Oldenburg;Gartenstr. 10;26015;Oldenburg;Postfach 2505;;;;;102114819;;;
AOK Osterholz;102614493;;;;;;27711;Osterholz-Scharmbeck;Bahnhofstrasse 1;27701;Osterholz-Scharmbeck;Postfach 1104;;;;;102114819;;;
AOK Osterode am Harz;102014501;;;;;;37520;Osterode;Berliner Strasse 2;37501;Osterode;Postfach 1120;;;;;102114819;;;
AOK Ostwürttemberg;108018564;;;;;;73525;Schwäbisch Gmünd;Pfeifergäßle 21;;;;;;;;108018007;;;
AOK Passau;109016358;;;;;;94032;Passau;Neuburger Str. 92;94030;Passau;Postfach 1107;;;;;108310400;;;
AOK Plus;105998018;;;;;;98523;Suhl;;;;;;;;;107299005;;;
AOK Rd Mittelhessen;105713230;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Regensburg;108916641;;;;;;93055;Regensburg;Bruderwöhrstr. 9;;;;93043;Regensburg;;;108310400;;;
AOK Rhein-Neckar-Odenwald;107018414;;;;;;68161;Mannheim;Renzstr. 11-13;;;;;;;;107018425;;;
AOK Rhein-Neckar-Odenwald;107018425;;;;;;68161;Mannheim;Renzstr. 11-13;;;;;;;;108018007;;;
AOK Rheinland-Pfalz;106215364;;;;;;55116;Mainz;Hintere Bleiche 59;55001;Mainz;Postfach 1109;;;;;106215364;;;
AOK Rheinland-Pfalz;106215397;;;;;;67547;Worms;Goethestr. 24;67501;Worms;Postfach 1153;;;;;106215397;;;
AOK Rheinland-Pfalz;106315014;;;;;;53474;Bad Neuenahr-Ahrweiler;Wilhelmstr. 36;53456;Bad Neuenahr-Ahrweiler;Postfach 1109;;;;;106315014;;;
AOK Rheinland-Pfalz;106315025;;;;;;;;;;;;56470;Bad Marienberg;Jahnstr. 1;;106315025;;;
AOK Rheinland-Pfalz;106315058;;;;;;55743;Idar-Oberstein;Hauptstr. 133;55713;Idar-Oberstein;Postfach 122120;;;;;106315058;;;
AOK Rheinland-Pfalz;106315069;;;;;;56068;Koblenz;Rizzastr. 11;56001;Koblenz;Postfach 149;;;;;106315069;;;
AOK Rheinland-Pfalz;106315070;;;;;;55543;Bad Kreuznach;Bosenheimer Str. 81-83;;;;55541;Bad Kreuznach;;;106315070;;;
AOK Rheinland-Pfalz;106315116;;;;;;56564;Neuwied;Hermannstr. 37;56501;Neuwied;Postfach 1152;;;;;106315116;;;
AOK Rheinland-Pfalz;106315252;;;;;;65582;Diez;Bahnhofsweg 3-5;65580;Diez;Postfach 1160;;;;;106315252;;;
AOK Rheinland-Pfalz;106315263;;;;;;55469;Simmern;Gartenstr. 3;55461;Simmern;Postfach 180;;;;;106315263;;;
AOK Rheinland-Pfalz;106315274;;;;;;56727;Mayen;Bäckerstr. 8;;;;56724;Mayen;;;106315274;;;
AOK Rheinland-Pfalz;106315285;;;;;;56812;Cochem;Ravenestr. 47;56801;Cochem;Postfach 1140;;;;;106315285;;;
AOK Rheinland-Pfalz;106315296;;;;;;56410;Montabaur;Tiergartenstr. 5-7;56401;Montabaur;Postfach 1164;;;;;106315296;;;
AOK Rheinland-Pfalz;106415300;;;;;;76726;Germersheim;Josef-Probst-Str. 1;;;;76725;Germersheim;;;106415300;;;
AOK Rheinland-Pfalz;106415311;;;;;;67655;Kaiserslautern;Kanalstr. 25;;;;67653;Kaiserslautern;;;106415311;;;
AOK Rheinland-Pfalz;106415322;;;;;;67292;Kirchheimbolanden;Marnheimer Str. 55;67285;Kirchheimbolanden;Postfach 1240;;;;;106415322;;;
AOK Rheinland-Pfalz;106415333;;;;;;66869;Kusel;Vogelsang 3;66863;Kusel;Postfach 1151;;;;;106415333;;;
AOK Rheinland-Pfalz;106415344;;;;;;76829;Landau;Zeughausgasse 4;76825;Landau;Postfach 1120;;;;;106415344;;;
AOK Rheinland-Pfalz;106415355;;;;;;67061;Ludwigshafen;Kurfürstenstr. 11;67001;Ludwigshafen;Postfach 210147;;;;;106415355;;;
AOK Rheinland-Pfalz;106415377;;;;;;67433;Neustadt a.d.W.;Wiesenstr. 34;;;;67429;Neustadt a.d.W.;;;106415377;;;
AOK Rheinland-Pfalz;106415388;;;;;;66953;Pirmasens;Bahnhofstr. 28-30;66921;Pirmasens;Postfach 1163;;;;;106415388;;;
AOK Rheinland-Pfalz;106515209;;;;;;54634;Bitburg;Schliezgasse 26;54621;Bitburg;Postfach 1152;;;;;106515209;;;
AOK Rheinland-Pfalz;106515210;;;;;;54550;Daun;Lindenstr. 16;54542;Daun;Postfach 1109;;;;;106515210;;;
AOK Rheinland-Pfalz;106515221;;;;;;54292;Trier;Paulinstr. 21;54201;Trier;Postfach 1180;;;;;106515221;;;
AOK Rheinland-Pfalz;106515232;;;;;;54516;Wittlich;Beethovenstr. 30;54501;Wittlich;Postfach 1140;;;;;106515232;;;
AOK Rheinland/Hamburg;101519213;;;;;;40213;Düsseldorf;Kasernenstr. 61;40004;Düsseldorf;Postfach 101342;;;;;101519213;;da@dta.aok.de;
AOK Rheinland/Hamburg;104212505;;;;;;;;;40004;Duesseldorf;Postfach 101342;;;;;104212505;;;
AOK Rinteln;102114535;;;;;;31737;Rinteln;Bahnhofstrasse 3;31735;Rinteln;Postfach 1108;;;;;102114819;;;
AOK Rosenheim;108516497;;;;;;83022;Rosenheim;Reichenbachstr. 8-10;83001;Rosenheim;Postfach 100161;;;;;108310400;;;
AOK Rottal-Inn;109016369;;;;;;84347;Pfarrkirchen;Schäfflerstrasse 16;84341;Pfarrkirchen;Postfach 1151;;;;;108310400;;;
AOK Sachsen-Anhalt;101097008;;;;;;39106;Magdeburg;Lüneburger Str. 4;;;;39084;Magdeburg;;;101097008;;da@dta.aok.de;
AOK Salzgitter;101914553;;;;;;38259;Salzgitter;Kaiserstr. 8;38241;Salzgitter;Postfach 511120;;;;;102114819;;;
AOK Schwarzwald-Baar-Heuberg;107515586;;;;;;78048;Villingen-Schwenningen;Schwenninger Str. 1/2;;;;;;;;108018007;;;
AOK Schweinfurt;108816822;;;;;;97424;Schweinfurt;Bahnhofsplatz 2;97419;Schweinfurt;Postfach 1180;;;;;108310400;;;
AOK Stadthagen;102114591;;;;;;31655;Stadthagen;Jahnstrasse 5;31653;Stadthagen;Postfach 1252;;;;;102114819;;;
AOK Straubing;109016370;;;;;;94315;Straubing;Bahnhofsplatz 17;94301;Straubing;Postfach 0165;;;;;108310400;;;
AOK Stuttgart-Böblingen;108018121;;;;;;70176;Stuttgart;Breitscheidstr. 20;;;;;;;;108018007;;;
AOK Südlicher Oberrhein;107415518;;;;;;79098;Freiburg;Fahnenbergplatz 6;;;;;;;;108018007;;;
AOK Tirschenreuth;108916652;;;;;;95643;Tirschenreuth;St  Peterstrasse 35;95633;Tirschenreuth;Postfach 1149;;;;;108310400;;;
AOK Ulm-Biberach;107815783;;;;;;89073;Ulm;Schwambergerstr. 14;;;;;;;;108018007;;;
AOK Weiden;108916663;;;;;;92637;Weiden;Bahnhofstrasse 13;92601;Weiden;Postfach 1140;;;;;108310400;;;
AOK Wesermarsch;102814064;;;;;;26919;Brake;Poggenburger Strasse 14;26911;Brake;Postfach 1161;;;;;102114819;;;
AOK Wilhelmshaven;102814678;;;;;;26382;Wilhelmshaven;Kieler Str. 65;26351;Wilhelmshaven;Postfach 1152;;;;;102114819;;;
AOK Winsen/Luhe;102314684;;;;;;21423;Winsen;Viehhallenweg 30;21412;Winsen;Postfach 1220;;;;;102114819;;;
AOK Wunsiedel;108616557;;;;;;95632;Wunsiedel;Egerstrasse 47;95631;Wunsiedel;Postfach 340;;;;;108310400;;;
AOK Würzburg;108816833;;;;;;97070;Würzburg;Kardinal-Faulhaber-Platz 1;97029;Würzburg;Postfach 110261;;;;;108310400;;;
AOK f.d. Region Ingolstadt;108516464;;;;;;85049;Ingolstadt;Harderstr. 43;85017;Ingolstadt;Postfach 210241;;;;;108310400;;;
Audi BKK;108534160;;;;;;85057;Ingolstadt;Ettinger Str. 70;85001;Ingolstadt;Postfach 100160;;;;;108534160;;;
Audi BKK/Ost;108837428;;;;;;85057;Ingolstadt;Ettinger Str. 70;85001;Ingolstadt;Postfach 100160;;;;;108837428;;;
BAHN-BKK;109938503;;;;;;60486;Frankfurt;Franklinstr. 54;;;;;;;;109938503;;;
BAHN-BKK PRAXISNETZ;109531272;;;;;;10243;Berlin;Karl-Marx-Allee 90a;;;;;;;;109938503;;;
BAHN-BKK RGS Bln 1;109920514;;;;;;10243;Berlin;Karl-Marx-Allee 90a;;;;;;;;109920569;;;
BAHN-BKK RGS Bln 2;109920525;;;;;;10243;Berlin;Karl-Marx-Allee 90a;;;;;;;;109920569;;;
BAHN-BKK RGS Bln 6;109929114;;;;;;10243;Berlin;Karl-Marx-Allee 90a;;;;;;;;109938503;;;
BAHN-BKK RGS Cbs / West;109936829;;;;;;03048;Cottbus;Calauer Str. 71;03012;Cottbus;Postfach 101254;;;;;109938503;;;
BAHN-BKK RGS Cbs 3;109920536;;;;;;03048;Cottbus;Calauer Str. 71;03012;Cottbus;Postfach 101254;;;;;109920569;;;
BAHN-BKK RGS Cbs 4;109920547;;;;;;03048;Cottbus;Calauer Str. 71;03012;Cottbus;Postfach 101254;;;;;109920569;;;
BAHN-BKK RGS Cbs 5;109920558;;;;;;03048;Cottbus;Calauer Str. 71;03012;Cottbus;Postfach 101254;;;;;109920569;;;
BAHN-BKK RGS Mitte-West;109938320;;;;;;60487;Frankfurt;Rödelheimer Str. 45;60442;Frankfurt;Postfach 900252;;;;;109938503;;;
BAHN-BKK RGS Mitte-West / Ost;109936841;;;;;;60487;Frankfurt;Rödelheimer Str. 45;60442;Frankfurt;Postfach 900252;;;;;109920569;;;
BAHN-BKK RGS Nord-West;109938331;;;;;;48123;Münster;Engelstr. 55;;;;;;;;109938503;;;
BAHN-BKK RGS Nord-West;109938353;;;;;;48123;Münster;Engelstr. 55;;;;;;;;109938503;;;
BAHN-BKK RGS Nord-West / Ost;109936852;;;;;;48123;Münster;Engelstr. 55;;;;;;;;109920569;;;
BAHN-BKK RGS Nord-West / Ost;109936874;;;;;;48123;Münster;Engelstr. 55;;;;;;;;109920569;;;
BAHN-BKK RGS Süd;109938319;;;;;;83022;Rosenheim;Tegernseestr. 16;;;;;;;;109938503;;;
BAHN-BKK RGS Süd;109938342;;;;;;83022;Rosenheim;Tegernseestr. 16;;;;;;;;109938503;;;
BAHN-BKK RGS Süd / Ost;109936830;;;;;;83022;Rosenheim;Tegernseestraße 16;;;;;;;;109920569;;;
BAHN-BKK RGS Süd / Ost;109936863;;;;;;83022;Rosenheim;Tegernseestraße 16;;;;;;;;109920569;;;
BAHN-BKK VIP-K.Center/Ost;109937955;;;;;;;;;10205;Berlin;Postfach 180187;;;;;109920569;;;
BAHN-BKK VIP-K.Center/West;109937944;;;;;;;;;10205;Berlin;Postfach 180187;;;;;109938503;;;
BAHN-BKK/OST;109920569;;;;;;60486;Frankfurt;Franklinstr. 54;;;;;;;;109920569;;;
BANK BKK;105230418;;;;;;60325;Frankfurt;Westendstr. 21;;;;;;;;105330191;;;
BANK BKK;105330179;;;;;;60325;Frankfurt;Westendstr. 21;;;;;;;;105330191;;;
BANK BKK;105530262;;;;;;37247;Großalmerode;Großalmeroder Str. 18;37244;Großalmerode;Postfach 1240;;;;;105330191;;;
BANK BKK;105830232;;;;;;65366;Geisenheim;Industriestr. 11;65358;Geisenheim;Postfach 1111;;;;;105330191;;;
BARMER;100180008;;;;;;42285;Wuppertal;Lichtscheider Str. 89;;;;;;;;104940005;;;78601
BARMER;100580002;;;;;;42285;Wuppertal;Lichtscheider Str. 89;;;;;;;;104940005;;;83601
BARMER;100980006;;;;;;42285;Wuppertal;Lichtscheider Str. 89;;;;;;;;104940005;;;88601
BARMER;101380002;;;;;;42285;Wuppertal;Lichtscheider Str. 89;;;;;;;;104940005;;;01601
BARMER;101580004;;;;;;42285;Wuppertal;Lichtscheider Str. 89;;;;;;;;104940005;;;02601
BARMER;101780006;;;;;;42285;Wuppertal;Lichtscheider Str. 89;;;;;;;;104940005;;;17601
BARMER;103080003;;;;;;42285;Wuppertal;Lichtscheider Str. 89;;;;;;;;104940005;;;05601
BARMER;103480007;;;;;;42285;Wuppertal;Lichtscheider Str. 89;;;;;;;;104940005;;;20601
BARMER;104080005;;;;;;42285;Wuppertal;Lichtscheider Str. 89;;;;;;;;104940005;;;38601
BARMER;104940005;;;;;;42285;Wuppertal;Lichtscheider Str. 89;;;;42271;Wuppertal;;;104940005;1;DA302-barmer@gkvi.de;74601
BARMER;105080008;;;;;;42285;Wuppertal;Lichtscheider Str. 89;;;;;;;;104940005;;;93601
